Title,Author,My Rating,Average Rating,Number of Pages,Original Publication Year,Date Read,race,of-color,gender,non-male,sexuality,non-straight,international,disabled,overall rating
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3,3.71,209,1958,12/24/20,black,1,male,0,straight,0,1,0,2
Beloved,Toni Morrison,4,3.9,275,1987,12/24/20,black,1,female,1,straight,0,0,0,2
Invictus,Ryan Graudin,3,3.85,458,2017,12/20/20,white,0,female,1,straight,0,0,0,1
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,2,3.87,403,2013,12/20/20,asian,1,male,0,gay,1,1,0,3
"Dream Maker (Dream Team, #1)",Kristen Ashley,1,4.17,544,2020,12/12/20,white,0,female,1,straight,0,0,0,1
Journey of the Universe,Brian Swimme,3,3.96,192,2011,12/7/20,white,0,male,0,straight,0,0,0,0
The Jaguar Smile: A Nicaraguan Journey,Salman Rushdie,4,3.55,160,1987,11/29/20,asian,1,male,0,straight,0,1,0,2
Santeria: African Spirits in America,Joseph M. Murphy,4,3.83,208,1988,11/30/20,white,0,male,0,straight,0,0,0,0
Powerplay: The Origins of the American Alliance System in Asia,Victor Cha,4,4.11,330,,11/29/20,asian,1,male,0,straight,0,0,0,1
The Pivot: The Future of American Statecraft in Asia,Kurt Campbell,4,3.6,432,,11/27/20,white,0,male,0,straight,0,0,0,0
The International Politics of the Asia Pacific,Michael Yahuda,4,3.52,376,,11/21/20,white,0,male,0,straight,0,0,0,0
The Color Purple,Alice Walker,4,4.24,304,1982,11/27/20,black,1,female,1,straight,0,0,0,2
"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,2,4.09,225,1984,11/24/20,white,0,male,0,straight,0,0,0,0
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,3,4.18,224,1982,11/24/20,white,0,male,0,straight,0,0,0,0
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4,4.22,193,1979,11/22/20,white,0,male,0,straight,0,0,0,0
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,3,4.2,250,1980,11/23/20,white,0,male,0,straight,0,0,0,0
Finding Palestine: One American's Trek from the Midwest to the Middle East,Liza Elliott,3,4.7,245,2001,11/19/20,white,0,female,1,straight,0,0,0,1
This Is How You Lose the Time War,Amal El-Mohtar,4,3.96,201,2019,11/18/20,middle eastern,1,female,1,straight,0,0,0,2
Maps and Dreams: Indians and the British Columbia Frontier,Hugh Brody,4,3.93,294,1981,11/9/20,white,0,male,0,straight,0,0,0,0
Journey Around My Room and a Nocturnal Expedition Around My Room,Xavier de Maistre,4,3.61,144,,11/8/20,white,0,male,0,straight,0,0,0,0
Lieutenant Nun: Memoir of a Basque Transvestite in the New World,Catalina de Erauso,4,3.57,128,1630,11/7/20,white,0,trans female,1,straight,0,0,0,1
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4,4.28,480,2017,11/7/20,middle eastern,1,female,1,straight,0,0,0,2
"A Rogue of One's Own (A League of Extraordinary Women, #2)",Evie Dunmore,2,4.03,448,2020,11/1/20,white,0,female,1,straight,0,0,0,1
"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,4,3.98,368,2019,10/30/20,white,0,female,1,straight,0,0,0,1
Foundation and Earth (Foundation #5),Isaac Asimov,2,4.06,500,1986,10/17/20,white,0,male,0,straight,0,0,0,0
Foundation's Edge (Foundation #4),Isaac Asimov,3,4.14,450,1982,10/17/20,white,0,male,0,straight,0,0,0,0
Second Foundation (Foundation #3),Isaac Asimov,3,4.25,256,1953,10/15/20,white,0,male,0,straight,0,0,0,0
The Travels of Marco Polo - Volume 1,Marco Polo,3,3.52,874,1285,10/1/20,white,0,male,0,straight,0,0,0,0
Are Prisons Obsolete?,Angela Y. Davis,5,4.55,128,2003,9/25/20,black,1,female,1,lesbian,1,0,0,3
Lucian's True History,Lucian of Samosata,3,3.78,318,165,9/24/20,middle eastern,1,male,0,straight,0,1,0,2
The Odyssey,Homer,4,3.78,541,-800,9/10/20,white,0,male,0,straight,0,0,0,0
Acceptance,Jeff VanderMeer,5,3.62,341,2014,9/15/20,white,0,male,0,straight,0,0,0,0
Authority,Jeff VanderMeer,5,3.53,341,2014,9/6/20,white,0,male,0,straight,0,0,0,0
Annihilation,Jeff VanderMeer,5,3.73,195,2014,8/27/20,white,0,male,0,straight,0,0,0,0
The Sacred and the Profane: The Nature of Religion,Mircea Eliade,3,4.11,256,1956,8/13/20,white,0,male,0,straight,0,1,0,1
The Courage to Be,Paul Tillich,4,4.1,207,1952,8/20/20,white,0,male,0,straight,0,0,0,0
"Ask Again, Yes",Mary Beth Keane,3,3.96,390,2019,8/9/20,white,0,female,1,straight,0,0,0,1
Untamed,Glennon Doyle,3,4.03,333,2020,8/9/20,white,0,female,1,bisexual,1,0,0,2
"Bless Me, Ultima",Rudolfo Anaya,4,3.82,290,1972,8/4/20,latinx,1,male,0,straight,0,0,0,1
Foundation and Empire (Foundation #2),Isaac Asimov,4,4.21,244,1952,8/2/20,white,0,male,0,straight,0,0,0,0
"Stiletto (The Checquy Files, #2)",Daniel O'Malley,4,4.14,583,2016,8/2/20,white,0,male,0,straight,0,0,0,0
How Not to Die Alone,Richard Roper,3,3.69,321,2019,7/29/20,white,0,male,0,straight,0,0,0,0
Head Over Heels,Hannah Orenstein,1,3.66,323,2020,7/23/20,white,0,female,1,straight,0,0,0,1
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,,4.3,256,1985,,white,0,male,0,straight,0,0,0,0
Fahrenheit 451,Ray Bradbury,,3.98,227,1953,,white,0,male,0,straight,0,0,0,0
Animal Farm,George Orwell,,3.97,122,1945,,white,0,male,0,straight,0,0,0,0
The Turn of the Key,Ruth Ware,3,3.93,337,2019,7/6/20,white,0,female,1,straight,0,0,0,1
"The Rook (The Checquy Files, #1)",Daniel O'Malley,4,4.09,496,2012,7/6/20,white,0,male,0,straight,0,0,0,0
"Foundation (Foundation, #1)",Isaac Asimov,5,4.17,200,1951,6/25/20,white,0,male,0,straight,0,0,0,0
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,5,4.46,290,2010,6/22/20,black,1,female,1,straight,0,0,0,2
Their Eyes Were Watching God,Zora Neale Hurston,4,3.96,219,1937,6/16/20,black,1,female,1,straight,0,0,0,2
Jane Eyre,Charlotte Brontë,4,4.13,532,1847,6/14/20,white,0,female,1,queer,1,0,0,2
Light from Other Stars,Erika Swyler,3,3.81,305,2019,6/9/20,white,0,female,1,straight,0,0,0,1
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,5,4.25,209,2020,5/27/20,asian,1,female,1,queer,1,0,0,3
The Sirens of Titan,Kurt Vonnegut Jr.,5,4.13,224,1959,5/12/20,white,0,male,0,straight,0,0,0,0
The Unbearable Lightness of Being,Milan Kundera,5,4.1,320,1984,4/30/20,white,0,male,0,straight,0,1,0,1
The Ten Thousand Doors of January,Alix E. Harrow,4,4.06,374,2019,4/23/20,white,0,female,1,straight,0,0,0,1
Grand Union: Stories,Zadie Smith,5,3.27,246,2019,3/4/20,black,1,female,1,straight,0,0,0,2
"Ready Player One (Ready Player One, #1)",Ernest Cline,4,4.24,374,2011,6/4/20,white,0,male,0,straight,0,0,0,0
Girl Made of Stars,Ashley Herring Blake,4,4.27,295,2018,6/4/20,white,0,female,1,bisexual,1,0,0,2
The Brief Wondrous Life of Oscar Wao,Junot Díaz,5,3.89,335,2007,6/3/20,latinx,1,male,0,straight,0,1,0,2
Educated,Tara Westover,5,4.46,334,2018,6/1/20,white,0,female,1,straight,0,0,1,2
You Are Not Alone,Greer Hendricks,4,3.76,343,2020,5/30/20,white,0,female,1,straight,0,0,0,1
"The Godfather (The Godfather, #1)",Mario Puzo,5,4.35,448,1969,,white,0,male,0,straight,0,0,0,0
In Five Years,Rebecca Serle,4,3.82,255,2020,5/22/20,white,0,female,1,gay,1,0,0,2
Tweet Cute,Emma Lord,4,3.99,368,2020,5/18/20,white,0,female,1,straight,0,0,0,1
Family Trust,Kathy Wang,4,3.23,387,2018,5/13/20,asian,1,female,1,straight,0,0,0,2
The Lovely Bones,Alice Sebold,4,3.83,372,2002,5/9/20,white,0,female,1,straight,0,0,0,1
The Curious Incident of the Dog in the Night-Time,Mark Haddon,4,3.89,226,2003,5/8/20,white,0,male,0,straight,0,0,0,0
Such a Fun Age,Kiley Reid,4,3.84,310,2019,5/8/20,black,1,female,1,straight,0,0,0,2
Mother Night,Kurt Vonnegut Jr.,5,4.19,282,1961,5/8/20,white,0,male,0,straight,0,0,0,0
Summer of '69,Elin Hilderbrand,5,3.96,432,2019,4/1/20,white,0,female,1,straight,0,0,0,1
Then She Was Gone,Lisa Jewell,4,4.04,359,2017,4/13/20,white,0,female,1,straight,0,0,0,1
All American Boys,Jason  Reynolds,4,4.33,316,2015,5/5/20,black,1,male,0,straight,0,0,0,1
Mosquitoland,David  Arnold,2,3.88,336,2015,5/5/20,white,0,male,0,straight,0,0,0,0
If I Never Met You,Mhairi McFarlane,5,3.88,432,2020,3/25/20,white,0,female,1,straight,0,0,0,1
The Matchmaker's List,Sonya Lalli,3,3.32,352,2019,4/16/20,asian,1,female,1,straight,0,0,0,2
